"Name","Line: SKU","Line: Quantity","Line: Price","Refund: Created At","Refund: Note","Transaction: Amount"
"#38861","BL/ME mini/N150/12G/64G/极夜灰色美规","1","269.00","","",""
"#38861","","","","","",""
"#38861","","","0.00","","",""
"#38861","","","","","","259.00"
"#38861","","","","2026-01-04 01:40:34 -0500","亚马逊购买",""
"#38861","","","","2026-01-04 01:40:34 -0500","亚马逊购买","-259.00"
"#38889","BL/ME mini/N150/16G/1TB/珍珠白色欧规","1","379.00","","",""
"#38889","","","0.00","","",""
"#38889","","","","","","379.00"
"#38889","","","","","","379.00"
"#38889","","","","2026-01-04 01:47:10 -0500","不符合需求",""
"#38889","","","","2026-01-04 01:47:10 -0500","不符合需求","-379.00"
"#38902","BL/GTR9 Pro/395/128G/2TB/冰霜银色澳规","1","2399.00","","",""
"#38902","","","","","",""
"#38902","","","0.00","","",""
"#38902","","","","","","2394.00"
"#38902","","","","2026-01-01 22:53:13 -0500","公司提供了更便宜的替代品",""
"#38902","","","","2026-01-01 22:53:13 -0500","公司提供了更便宜的替代品","-2394.00"
"#38904","BL/EQi12-D4/1235U/16G/500G/星河灰美规","1","379.00","","",""
"#38904","","","0.00","","",""
"#38904","","","","","","379.00"
"#38904","","","","2026-01-06 05:22:23 -0500","不想要了",""
"#38904","","","","2026-01-06 05:22:23 -0500","不想要了","-379.00"
"#38908","BL/ME mini/N150/12G/64G/珍珠白色美规","1","269.00","","",""
"#38908","","","0.00","","",""
"#38908","","","","","","269.00"
"#38908","","","","2026-01-04 01:34:06 -0500","不想要了",""
"#38908","","","","2026-01-04 01:34:06 -0500","不想要了","-269.00"
"#38911","BL-EX/Mate mini-A/冰霜银色","1","139.00","","",""
"#38911","","","0.00","","",""
"#38911","","","","","","139.00"
"#38911","","","","2026-01-04 01:35:36 -0500","不符合需求",""
"#38911","","","","2026-01-04 01:35:36 -0500","不符合需求","-139.00"
"#38921","BL/EX/深空灰色/PCIE5美规","1","179.00","","",""
"#38921","","","0.00","","",""
"#38921","","","","","","179.00"
"#38921","","","","2026-01-04 01:38:21 -0500","多买了",""
"#38921","","","","2026-01-04 01:38:21 -0500","多买了","-179.00"
"#38939","BL/SER9 PRO/HX370/32G/1TB/深空灰色欧规","1","929.00","","",""
"#38939","","","","","",""
"#38939","","","0.00","","",""
"#38939","","","","","","924.00"
"#38939","","","","2026-01-06 20:05:14 -0500","不想等了",""
"#38939","","","","2026-01-06 20:05:14 -0500","不想等了","-924.00"
"#38967","BL/ME mini/N150/16G/1TB/珍珠白色美规","1","379.00","","",""
"#38967","","","0.00","","",""
"#38967","","","","","","379.00"
"#38967","","","","2026-01-05 05:02:41 -0500","不想要了",""
"#38967","","","","2026-01-05 05:02:41 -0500","不想要了","-379.00"
"#39002","BL/ME Pro/N150/16G/1TB/深空灰色欧规","1","559.00","","",""
"#39002","","","0.00","","",""
"#39002","","","","","","559.00"
"#39002","","","","2026-01-06 05:24:27 -0500","朋友已送",""
"#39002","","","","2026-01-06 05:24:27 -0500","朋友已送","-559.00"
"#39004","BL/ME Pro/N150/16G/1TB/深空灰色美规","1","559.00","","",""
"#39004","","","0.00","","",""
"#39004","","","","","","559.00"
"#39004","","","","2026-01-21 04:14:21 -0500","找到了更符合需求的产品",""
"#39004","","","","2026-01-21 04:14:21 -0500","找到了更符合需求的产品","-559.00"
"#39011","BL/ME mini/N150/16G/1TB/珍珠白色欧规","1","379.00","","",""
"#39011","","","0.00","","",""
"#39011","","","","","","379.00"
"#39011","","","","2026-01-28 04:02:22 -0500","不需要了",""
"#39011","","","","2026-01-28 04:02:22 -0500","不需要了","-379.00"
"#39012","BL/SEi14/185H/32G/1TB/冰霜银色英规","1","819.00","","",""
"#39012","","","0.00","","",""
"#39012","","","","","","819.00"
"#39012","","","","2026-01-10 02:53:37 -0500","缺货不愿意换型号",""
"#39012","","","","2026-01-10 02:53:37 -0500","缺货不愿意换型号","-819.00"
"#39043","BL/ME mini/N150/16G/1TB/珍珠白色英规","1","379.00","","",""
"#39043","","","","","",""
"#39043","","","0.00","","",""
"#39043","","","","","","374.00"
"#39043","","","","2026-01-06 01:33:15 -0500","不想要了",""
"#39043","","","","2026-01-06 01:33:15 -0500","不想要了","-374.00"
"#39070","BL-EX/Mate mini-B/2TB/冰霜银色","1","299.00","","",""
"#39070","","","0.00","","",""
"#39070","","","","","","299.00"
"#39070","","","","2026-01-07 05:06:37 -0500","不想要了",""
"#39070","","","","2026-01-07 05:06:37 -0500","不想要了","-299.00"
"#39083","BL/SER9 PRO/HX370/32G/1TB/冰霜银色澳规","1","929.00","","",""
"#39083","","","","","",""
"#39083","","","0.00","","",""
"#39083","","","","","","924.00"
"#39083","","","","2026-02-05 04:06:09 -0500","更新Windows之后无法正常工作",""
"#39083","","","","2026-02-05 04:06:09 -0500","更新Windows之后无法正常工作","-924.00"
"#39084","BL/EQi12-D4/12450H/32G/500G/星河灰欧规","1","329.00","","",""
"#39084","","","0.00","","",""
"#39084","","","","","","329.00"
"#39084","","","","2026-01-06 20:07:00 -0500","继续使用旧机器",""
"#39084","","","","2026-01-06 20:07:00 -0500","继续使用旧机器","-329.00"
"#39118","BL/ME Pro/N150/16G/512G/深空灰色欧规","1","529.00","","",""
"#39118","","","0.00","","",""
"#39118","","","","","","529.00"
"#39118","","","","2026-01-27 03:47:26 -0500","挽留优惠",""
"#39118","","","","2026-01-27 03:47:26 -0500","挽留优惠","-15.00"
"#39118","","","","2026-01-27 05:11:12 -0500","内存太贵了 等降价",""
"#39118","","","","2026-01-27 05:11:12 -0500","内存太贵了 等降价","-514.00"
"#39140","BL/Mate MINI S/藏青蓝色","2","69.00","","",""
"#39140","","","0.00","","",""
"#39140","","","","","","138.00"
"#39140","","","","2026-01-07 05:08:55 -0500","不再需要",""
"#39140","","","","2026-01-07 05:08:55 -0500","不再需要","-138.00"
"#39167","BL/ME Pro/N95/12G/128G/深空灰色欧规","1","369.00","","",""
"#39167","","","0.00","","",""
"#39167","","","","","","369.00"
"#39167","","","","2026-01-10 03:38:52 -0500","已经重新订购另一型号",""
"#39167","","","","2026-01-10 03:38:52 -0500","已经重新订购另一型号","-369.00"
"#39193","","2","2.00","","",""
"#39193","","3","30.00","","",""
"#39193","","5","100.00","","",""
"#39193","","","0.00","","",""
"#39193","","","","","","594.00"
